"from" "to" "weight"
59 108 9
59 109 36
59 118 40
59 136 15
59 140 46
59 152 17
59 157 15
59 165 13
59 170 10
60 7 1
60 23 2
60 24 492
60 33 154
60 41 271
60 51 101
60 54 3
60 68 13
60 97 71
60 108 11
60 109 23
60 118 14
60 136 6
60 140 26
60 152 13
60 157 2
60 170 6
61 24 280
61 33 6
61 51 8
61 54 34
61 68 9
61 72 2
61 97 4
61 109 19
61 118 145
61 136 43
61 140 10
61 157 8
61 170 126
62 7 7
62 23 1
62 24 666
62 33 100
62 41 10
62 51 139
62 54 11
62 68 52
62 72 4
62 97 23
62 108 4
62 109 43
62 118 117
62 136 35
62 140 1435
62 152 32
62 157 3
62 165 3
62 170 14
63 7 5
63 24 261
63 33 618
63 41 19
63 51 18
63 54 10
63 68 5
63 72 1
63 97 135
63 108 534
63 109 3
63 118 10
63 136 11
63 140 18
63 157 1
63 170 1
64 7 50
64 23 14
64 24 144
64 33 15
64 41 2
64 51 27
64 54 3
64 68 39
64 72 2
64 97 5
64 108 1
64 109 9
64 118 51
64 140 267
64 152 1
64 157 3
65 7 2
65 23 8
65 24 1683
65 33 217
65 41 351
65 51 603
65 54 17
65 68 110
65 97 149
65 108 29
65 109 46
65 118 48
65 136 40
65 140 211
65 152 253
65 157 9
65 165 6
65 170 19
66 7 1
66 24 223
66 33 9
66 41 1
66 51 10
66 54 6
66 68 229
66 72 2
66 97 1
66 109 5
66 118 212
66 136 27
66 140 14
66 157 3
66 165 2
66 170 33
67 7 132
67 23 207
67 24 817
67 33 137
67 41 11
67 51 109
67 54 16
67 68 152
67 97 5
67 108 1
67 109 63
67 118 322
67 136 17
67 140 525
67 152 8
67 157 10
67 165 4
67 170 29
68 7 12
68 23 6
68 24 1449
68 33 57
68 41 6
68 51 69
68 54 57
68 68 1247
68 72 3
68 97 5
68 108 1
68 109 65
68 118 1349
68 136 108
68 140 91
68 152 4
68 157 19
68 170 203
69 24 257
69 33 6
69 51 6
69 54 199
69 68 2
69 97 2
69 108 3
69 109 8
69 118 31
69 136 291
69 140 11
69 157 2
69 170 26
70 7 5
70 23 4
70 24 460
70 33 572
70 41 120
70 51 64
70 54 8
70 68 16
70 72 1
70 97 23
70 108 66
70 109 18
70 118 14
70 136 6
70 140 99
70 152 99
70 157 5
70 165 4
70 170 5
71 23 12
71 24 617
71 33 354
71 41 311
71 51 52
71 54 15
71 68 8
71 72 1
71 97 893
71 108 118
71 109 14
71 118 16
71 136 20
71 140 29
71 152 5
71 157 6
71 165 6
71 170 5
72 7 28
72 23 187
72 24 3448
72 33 272
72 41 96
72 51 359
72 54 58
72 68 1235
72 72 8
72 97 44
72 108 16
72 109 173
72 118 271
72 136 90
72 140 1861
72 152 326
72 157 58
72 165 5
72 170 67
73 23 5
73 24 915
73 33 8
73 41 2
73 51 25
73 54 91
73 68 33
73 72 4
73 97 2
73 109 20
73 118 358
73 136 146
73 140 32
73 152 2
73 157 11
73 165 2
73 170 280
74 24 245
74 33 13
74 41 5
74 51 7
74 54 197
74 68 2
74 72 2
74 97 2
74 108 1
74 109 29
74 118 40
74 136 172
74 140 13
74 157 22
74 165 1
74 170 43
75 7 55
75 23 136
75 24 815
75 33 76
75 41 10
75 51 105
75 54 18
75 68 202
75 97 6
75 108 3
75 109 49
75 118 127
75 136 24
75 140 649
75 152 12
75 157 10
75 165 4
75 170 48
76 7 11
76 23 41
76 24 555
76 33 61
76 41 16
76 51 60
76 54 21
76 68 211
76 72 1
76 97 13
76 108 4
76 109 17
76 118 45
76 136 16
76 140 727
76 152 108
76 157 12
76 170 19
77 7 86
77 23 63
77 24 660
77 33 50
77 41 16
77 51 62
77 54 11
77 68 110
77 72 2
77 97 6
77 108 1
77 109 28
77 118 79
77 136 16
77 140 855
77 152 25
77 157 5
77 170 16
78 7 11
78 23 4
78 24 171
78 33 12
78 41 1
78 51 14
78 54 3
78 68 50
78 72 1
78 97 3
78 108 2
78 109 10
78 118 34
78 136 7
78 140 373
78 152 16
78 157 5
78 165 1
78 170 6
79 7 5
79 23 6
79 24 122
79 33 11
79 51 36
79 54 1
79 68 34
79 97 1
79 109 3
79 118 14
79 136 3
79 140 436
79 152 19
79 170 2
80 23 2
80 24 724
80 33 1057
80 41 53
80 51 47
80 54 6
80 68 7
80 72 3
80 97 153
80 108 716
80 109 10
80 118 18
80 136 3
80 140 44
80 152 10
80 157 5
80 165 2
80 170 4
81 7 1
81 23 5
81 24 627
81 33 22
81 41 9
81 51 36
81 54 392
81 68 7
81 97 14
81 108 3
81 109 39
81 118 38
81 136 298
81 140 43
81 157 48
81 165 2
81 170 68
82 7 8
82 23 4
82 24 255
82 33 21
82 41 1
82 51 12
82 54 13
82 68 72
82 97 4
82 108 3
82 109 25
82 118 802
82 136 16
82 140 47
82 152 1
82 165 4
82 170 25
83 24 300
83 33 10
83 41 1
83 51 14
83 54 107
83 68 3
83 72 1
83 109 18
83 118 116
83 136 240
83 140 16
83 157 1
83 165 1
83 170 82
84 24 204
84 33 9
84 41 1
84 51 7
84 54 77
84 68 5
84 72 1
84 109 7
84 118 67
84 136 292
84 140 18
84 170 61
85 7 9
85 23 9
85 24 355
85 33 92
85 41 35
85 51 126
85 54 6
85 68 52
85 97 7
85 108 10
85 109 12
85 118 24
85 136 8
85 140 290
85 152 131
85 157 5
85 170 4
86 7 9
86 23 18
86 24 414
86 33 78
86 41 16
86 51 65
86 54 9
86 68 116
86 72 1
86 97 6
86 108 6
86 109 19
86 118 56
86 136 23
86 140 114
86 152 18
86 157 2
86 165 2
86 170 16
87 7 3
87 23 2
87 24 88
87 33 6
87 41 1
87 51 8
87 54 4
87 68 88
87 97 1
87 109 15
87 118 76
87 136 10
87 140 5
87 170 19
88 24 312
88 33 1
88 51 16
88 54 49
88 68 21
88 72 1
88 97 5
88 108 1
88 109 10
88 118 151
88 136 108
88 140 12
88 157 4
88 170 98
89 7 1
89 23 3
89 24 265
89 33 2
89 41 1
89 51 4
89 54 18
89 68 31
89 97 3
89 109 5
89 118 144
89 136 54
89 140 4
89 157 4
89 170 95
90 7 8
90 23 11
90 24 363
90 33 48
90 41 8
90 51 98
90 54 7
90 68 39
90 97 8
90 108 6
90 109 20
90 118 60
90 136 17
90 140 988
90 152 40
90 157 2
90 165 1
90 170 12
91 7 5
91 24 348
91 33 4
91 41 5
91 51 18
91 54 22
91 68 140
91 97 4
91 109 17
91 118 222
91 136 57
91 140 26
91 157 6
91 165 4
91 170 148
92 23 4
92 24 564
92 33 1219
92 41 32
92 51 46
92 54 13
92 68 8
92 72 1
92 97 79
92 108 551
92 109 7
92 118 15
92 136 19
92 140 43
92 152 24
92 157 7
92 165 3
92 170 6
93 24 88
93 33 102
93 41 55
93 51 6
93 54 2
93 68 1
93 97 102
93 108 16
93 109 5
93 118 4
93 136 5
93 140 5
93 152 1
93 165 1
94 7 2
94 23 8
94 24 292
94 33 101
94 41 14
94 51 270
94 54 9
94 68 30
94 72 1
94 97 22
94 108 6
94 109 41
94 118 36
94 136 10
94 140 645
94 152 14
94 157 1
94 170 8
95 23 6
95 24 755
95 33 220
95 41 420
95 51 63
95 54 12
95 68 5
95 97 475
95 108 16
95 109 22
95 118 22
95 136 10
95 140 31
95 152 8
95 157 11
95 165 3
95 170 2
96 7 1
96 23 5
96 24 317
96 33 144
96 41 35
96 51 189
96 54 11
96 68 21
96 72 3
96 97 8
96 108 22
96 109 15
96 118 5
96 136 11
96 140 185
96 152 100
96 157 3
96 165 3
96 170 6
97 7 2
97 23 4
97 24 3201
97 33 1268
97 41 896
97 51 196
97 54 57
97 68 50
97 72 5
97 97 6003
97 108 374
97 109 93
97 118 93
97 136 87
97 140 151
97 152 33
97 157 30
97 165 5
97 170 19
98 7 56
98 23 6
98 24 336
98 33 21
98 41 1
98 51 37
98 54 16
98 68 93
98 72 1
98 97 3
98 109 12
98 118 976
98 136 33
98 140 85
98 170 62
99 7 9
99 23 24
99 24 3084
99 33 150
99 41 78
99 51 439
99 54 35
99 68 90
99 72 5
99 97 33
99 108 17
99 109 157
99 118 89
99 136 53
99 140 177
99 152 71
99 157 29
99 165 54
99 170 29
100 7 26
100 23 23
100 24 153
100 33 8
100 41 2
100 51 54
100 54 3
100 68 36
100 109 7
100 118 62
100 136 12
100 140 619
100 170 8
101 7 2
101 23 6
101 24 618
101 33 80
101 41 10
101 51 33
101 54 211
101 68 28
101 72 1
101 97 7
101 108 2
101 109 80
101 118 100
101 136 147
101 140 38
101 152 2
101 157 20
101 165 12
101 170 258
102 23 1
102 24 845
102 33 24
102 41 10
102 51 24
102 54 814
102 68 6
102 72 2
102 97 6
102 108 2
102 109 28
102 118 73
102 136 799
102 140 39
102 157 9
102 165 7
102 170 107
103 23 1
103 24 223
103 33 9
103 41 1
103 51 18
103 54 9
103 68 131
103 72 1
103 97 3
103 108 3
103 109 19
103 118 273
103 136 25
103 140 10
103 157 2
103 165 2
103 170 43
104 7 5
104 24 349
104 33 774
104 41 21
104 51 16
104 54 1
104 68 2
104 97 88
104 108 482
104 109 10
104 118 9
104 136 4
104 140 28
104 152 8
104 157 3
104 165 3
104 170 1
105 7 5
105 23 3
105 24 1543
105 33 30
105 41 6
105 51 57
105 54 103
105 68 99
105 72 4
105 97 15
105 108 3
105 109 34
105 118 679
105 136 275
105 140 48
105 152 2
105 157 12
105 165 3
105 170 348
106 7 5
106 23 9
106 24 1435
106 33 96
106 41 105
106 51 373
106 54 29
106 68 77
106 72 3
106 97 22
106 108 5
106 109 68
106 118 58
106 136 24
106 140 147
106 152 94
106 157 19
106 165 22
106 170 12
107 7 1
107 23 5
107 24 332
107 33 801
107 41 24
107 51 23
107 54 5
107 68 10
107 97 70
107 108 379
107 109 6
107 118 8
107 136 1
107 140 15
107 152 8
107 170 1
108 7 5
108 23 16
108 24 2675
108 33 2639
108 41 109
108 51 124
108 54 34
108 68 23
108 72 6
108 97 319
108 108 2334
108 109 50
108 118 60
108 136 41
108 140 185
108 152 23
108 157 20
108 165 8
108 170 11
109 7 10
109 23 7
109 24 513
109 33 137
109 41 7
109 51 366
109 54 16
109 68 61
109 97 22
109 108 8
109 109 137
109 118 68
109 136 9
109 140 1039
109 152 32
109 157 4
109 165 6
109 170 6
110 23 1
110 24 620
110 33 29
110 41 7
110 51 36
110 54 168
110 68 9
110 97 8
110 109 58
110 118 54
110 136 107
110 140 24
110 152 1
110 157 90
110 165 2
110 170 56
111 7 5
111 23 4
111 24 764
111 33 272
111 41 488
111 51 60
111 54 16
111 68 9
111 72 1
111 97 519
111 108 76
111 109 32
111 118 10
111 136 22
111 140 19
111 152 3
111 157 5
111 165 3
111 170 10
112 24 74
112 33 1
112 41 1
112 51 5
112 54 25
112 68 2
112 109 4
112 118 26
112 136 71
112 140 5
112 170 18
113 24 98
113 33 1
113 51 2
113 54 14
113 68 4
113 72 1
113 118 55
113 136 30
113 140 3
113 170 48
114 7 30
114 23 8
114 24 722
114 33 309
114 41 8
114 51 70
114 54 31
114 68 73
114 72 2
114 97 9
114 108 1
114 109 41
