"channel","scenario","scenario_label","effect_label","effect","replicate","seed","known_role_instability","family","scale","score","null_threshold_95","null_median","null_mad","detected"
"graphon_cut_raw","directional_shift","Directional asymmetry shift","medium",0.5,165,20763982,0,"fitted-kernel distance","raw weighted scale",0.259937803775405,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","medium",0.5,132,20863949,0,"fitted-kernel distance","raw weighted scale",0.214832612160336,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,37,20962854,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.210287554343933,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","small",0.25,113,20862930,0,"fitted-kernel distance","raw weighted scale",0.184848893159027,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,30,20962847,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.174178684460403,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","medium",0.5,137,20863954,0,"fitted-kernel distance","raw weighted scale",0.239625359069595,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,23,20962840,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.223643744536347,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","destination_attraction","Destination-attraction shock","large",1,146,20664963,0,"fitted-kernel distance","raw weighted scale",0.924265621169251,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","small",0.25,118,20862935,0,"fitted-kernel distance","raw weighted scale",0.180477085387902,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","medium",0.5,156,20763973,0,"fitted-kernel distance","raw weighted scale",0.270569128738899,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,147,20962964,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.218745290307435,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","medium",0.5,116,20863933,0,"fitted-kernel distance","raw weighted scale",0.191672853881537,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","large",1,68,20764885,0,"fitted-kernel distance","raw weighted scale",0.518652468067067,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","destination_attraction","Destination-attraction shock","large",1,144,20664961,0,"fitted-kernel distance","raw weighted scale",0.90413047996977,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,33,20962850,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.178328574144449,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","medium",0.5,173,20763990,0,"fitted-kernel distance","raw weighted scale",0.244141894277542,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","small",0.25,109,20862926,0,"fitted-kernel distance","raw weighted scale",0.187084522958674,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","medium",0.5,166,20763983,0,"fitted-kernel distance","raw weighted scale",0.214221967559059,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","medium",0.5,133,20863950,0,"fitted-kernel distance","raw weighted scale",0.257843098031521,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,38,20962855,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.189165588239916,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","small",0.25,114,20862931,0,"fitted-kernel distance","raw weighted scale",0.180886306672373,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,31,20962848,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.191194617840824,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","medium",0.5,138,20863955,0,"fitted-kernel distance","raw weighted scale",0.217285886078761,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,24,20962841,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.225819370770521,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","destination_attraction","Destination-attraction shock","large",1,147,20664964,0,"fitted-kernel distance","raw weighted scale",0.876117678140097,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","small",0.25,119,20862936,0,"fitted-kernel distance","raw weighted scale",0.201111255499832,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","medium",0.5,157,20763974,0,"fitted-kernel distance","raw weighted scale",0.263172601669531,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,148,20962965,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.193525207600646,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","medium",0.5,117,20863934,0,"fitted-kernel distance","raw weighted scale",0.211971940096501,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","large",1,69,20764886,0,"fitted-kernel distance","raw weighted scale",0.382047809600705,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,41,20962858,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.26707092937195,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","large",1,112,20764929,0,"fitted-kernel distance","raw weighted scale",0.441523039928258,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","medium",0.5,174,20763991,0,"fitted-kernel distance","raw weighted scale",0.209316062307689,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","medium",0.5,141,20863958,0,"fitted-kernel distance","raw weighted scale",0.284774733412494,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","medium",0.5,117,20763934,0,"fitted-kernel distance","raw weighted scale",0.278714825565036,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","medium",0.5,134,20863951,0,"fitted-kernel distance","raw weighted scale",0.19584518101994,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,39,20962856,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.218263054198901,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","small",0.25,115,20862932,0,"fitted-kernel distance","raw weighted scale",0.213342237936842,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,82,20962899,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.252623209754901,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","medium",0.5,139,20863956,0,"fitted-kernel distance","raw weighted scale",0.232371544469901,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,25,20962842,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.212936775915628,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","destination_attraction","Destination-attraction shock","large",1,148,20664965,0,"fitted-kernel distance","raw weighted scale",1.00911451569264,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","small",0.25,120,20862937,0,"fitted-kernel distance","raw weighted scale",0.225454611243769,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","medium",0.5,158,20763975,0,"fitted-kernel distance","raw weighted scale",0.231968323854452,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,149,20962966,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.204130493691771,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","medium",0.5,118,20863935,0,"fitted-kernel distance","raw weighted scale",0.229940285196336,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","large",1,70,20764887,0,"fitted-kernel distance","raw weighted scale",0.385765394268228,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,42,20962859,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.210479151582517,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","large",1,113,20764930,0,"fitted-kernel distance","raw weighted scale",0.384934790644379,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","medium",0.5,175,20763992,0,"fitted-kernel distance","raw weighted scale",0.257775526494565,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","medium",0.5,142,20863959,0,"fitted-kernel distance","raw weighted scale",0.169440136922647,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","medium",0.5,118,20763935,0,"fitted-kernel distance","raw weighted scale",0.212623389642364,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","medium",0.5,135,20863952,0,"fitted-kernel distance","raw weighted scale",0.220188276737917,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,40,20962857,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.174900271232088,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","small",0.25,116,20862933,0,"fitted-kernel distance","raw weighted scale",0.210227958118698,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,83,20962900,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.161913334807435,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","medium",0.5,140,20863957,0,"fitted-kernel distance","raw weighted scale",0.212931245470213,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,26,20962843,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.203468219644629,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","destination_attraction","Destination-attraction shock","large",1,149,20664966,0,"fitted-kernel distance","raw weighted scale",0.914930552383994,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","small",0.25,121,20862938,0,"fitted-kernel distance","raw weighted scale",0.225347880145847,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","medium",0.5,159,20763976,0,"fitted-kernel distance","raw weighted scale",0.278058871794406,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,150,20962967,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.201470892877638,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","medium",0.5,119,20863936,0,"fitted-kernel distance","raw weighted scale",0.222751303475934,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","large",1,71,20764888,0,"fitted-kernel distance","raw weighted scale",0.422527562775386,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,43,20962860,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.206984799443838,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","large",1,114,20764931,0,"fitted-kernel distance","raw weighted scale",0.39507872804898,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","medium",0.5,176,20763993,0,"fitted-kernel distance","raw weighted scale",0.266143880708825,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","medium",0.5,143,20863960,0,"fitted-kernel distance","raw weighted scale",0.190472131234328,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","medium",0.5,119,20763936,0,"fitted-kernel distance","raw weighted scale",0.288679217904304,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","medium",0.5,36,20863853,0,"fitted-kernel distance","raw weighted scale",0.230743308267263,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","large",1,50,20764867,0,"fitted-kernel distance","raw weighted scale",0.434640445195851,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,172,20962989,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.188826166289668,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,84,20962901,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.192967479804422,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","medium",0.5,122,20863939,0,"fitted-kernel distance","raw weighted scale",0.231240291819852,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,27,20962844,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.245179177721007,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","destination_attraction","Destination-attraction shock","large",1,150,20664967,0,"fitted-kernel distance","raw weighted scale",0.850556547619047,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","small",0.25,122,20862939,0,"fitted-kernel distance","raw weighted scale",0.201845936312278,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","large",1,110,20764927,0,"fitted-kernel distance","raw weighted scale",0.376361558041019,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,151,20962968,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.210632951024903,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","medium",0.5,120,20863937,0,"fitted-kernel distance","raw weighted scale",0.207678696504489,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","large",1,72,20764889,0,"fitted-kernel distance","raw weighted scale",0.398629278702902,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,44,20962861,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.172718542434334,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","large",1,115,20764932,0,"fitted-kernel distance","raw weighted scale",0.419104613568092,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","medium",0.5,177,20763994,0,"fitted-kernel distance","raw weighted scale",0.171514942990512,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","medium",0.5,144,20863961,0,"fitted-kernel distance","raw weighted scale",0.223535554099008,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","medium",0.5,120,20763937,0,"fitted-kernel distance","raw weighted scale",0.210233785863989,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","local_block_shock","Localized block-pair shock","medium",0.5,37,20863854,0,"fitted-kernel distance","raw weighted scale",0.235573392210142,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","directional_shift","Directional asymmetry shift","large",1,51,20764868,0,"fitted-kernel distance","raw weighted scale",0.400963339710878,0.217562537442136,0.184192136278629,0.0103646081418162,TRUE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,173,20962990,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.19219620339774,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
"graphon_cut_raw","role_reassignment","Node role reassignment","small",0.25,85,20962902,0.123846019857168,"fitted-kernel distance","raw weighted scale",0.184757690431353,0.217562537442136,0.184192136278629,0.0103646081418162,FALSE
