"origin_block","destination_block","expected_weight","scenario","scenario_label","state","effect_label","effect"
2,4,0.464,"local_block_shock","Localized block-pair shock","Changed","medium",0.5
3,4,2.1,"local_block_shock","Localized block-pair shock","Changed","medium",0.5
4,4,1.5295,"local_block_shock","Localized block-pair shock","Changed","medium",0.5
1,1,2.85,"role_reassignment","Node role reassignment","Baseline","medium",0.5
2,1,1.2,"role_reassignment","Node role reassignment","Baseline","medium",0.5
3,1,0.768,"role_reassignment","Node role reassignment","Baseline","medium",0.5
4,1,0.504,"role_reassignment","Node role reassignment","Baseline","medium",0.5
1,2,1.056,"role_reassignment","Node role reassignment","Baseline","medium",0.5
2,2,2.35125,"role_reassignment","Node role reassignment","Baseline","medium",0.5
3,2,1.036,"role_reassignment","Node role reassignment","Baseline","medium",0.5
4,2,0.682,"role_reassignment","Node role reassignment","Baseline","medium",0.5
1,3,0.612,"role_reassignment","Node role reassignment","Baseline","medium",0.5
2,3,0.76,"role_reassignment","Node role reassignment","Baseline","medium",0.5
3,3,1.9,"role_reassignment","Node role reassignment","Baseline","medium",0.5
4,3,1.26,"role_reassignment","Node role reassignment","Baseline","medium",0.5
1,4,0.312,"role_reassignment","Node role reassignment","Baseline","medium",0.5
2,4,0.464,"role_reassignment","Node role reassignment","Baseline","medium",0.5
3,4,0.7,"role_reassignment","Node role reassignment","Baseline","medium",0.5
4,4,1.5295,"role_reassignment","Node role reassignment","Baseline","medium",0.5
1,1,2.85,"role_reassignment","Node role reassignment","Changed","medium",0.5
2,1,1.2,"role_reassignment","Node role reassignment","Changed","medium",0.5
3,1,0.768,"role_reassignment","Node role reassignment","Changed","medium",0.5
4,1,0.7128,"role_reassignment","Node role reassignment","Changed","medium",0.5
1,2,1.056,"role_reassignment","Node role reassignment","Changed","medium",0.5
2,2,2.35125,"role_reassignment","Node role reassignment","Changed","medium",0.5
3,2,1.036,"role_reassignment","Node role reassignment","Changed","medium",0.5
4,2,1.2199,"role_reassignment","Node role reassignment","Changed","medium",0.5
1,3,0.612,"role_reassignment","Node role reassignment","Changed","medium",0.5
2,3,0.76,"role_reassignment","Node role reassignment","Changed","medium",0.5
3,3,1.9,"role_reassignment","Node role reassignment","Changed","medium",0.5
4,3,1.11,"role_reassignment","Node role reassignment","Changed","medium",0.5
1,4,0.5352,"role_reassignment","Node role reassignment","Changed","medium",0.5
2,4,1.0673,"role_reassignment","Node role reassignment","Changed","medium",0.5
3,4,0.8008,"role_reassignment","Node role reassignment","Changed","medium",0.5
4,4,1.158835,"role_reassignment","Node role reassignment","Changed","medium",0.5
