"scenario","scenario_label","effect_label","effect","family","scale","channel","replicates","calibrated_detection_rate","mean_score","median_score","score_q025","score_q975","null_threshold_95"
"destination_attraction","Destination-attraction shock","large",1,"conventional indicator","native indicator scale","indicator_binary_transitivity",200,1,0.0703336245218724,0.0703883731336417,0.0492140010370584,0.0944272438085349,0.0239801659950453
"destination_attraction","Destination-attraction shock","large",1,"conventional indicator","native indicator scale","indicator_edge_density",200,1,0.045440664556962,0.0451740506329114,0.0317840189873418,0.0604786392405063,0.0159889240506329
"destination_attraction","Destination-attraction shock","large",1,"conventional indicator","native indicator scale","indicator_effective_destinations",200,1,0.240632203071021,0.240825975770656,0.189272079994131,0.29724333847523,0.0212173104812073
"destination_attraction","Destination-attraction shock","large",1,"conventional indicator","native indicator scale","indicator_in_strength_gini",200,1,0.221653270951022,0.222680762398324,0.184567476739399,0.261228437871616,0.0340800096386451
"destination_attraction","Destination-attraction shock","large",1,"conventional indicator","native indicator scale","indicator_out_strength_gini",200,0.995,0.0766017719129242,0.0758682259318672,0.038547293216356,0.112144209345548,0.0326812569457221
"destination_attraction","Destination-attraction shock","large",1,"conventional indicator","native indicator scale","indicator_top10_destination_share",200,1,0.148775891583884,0.149243871468545,0.111880424768193,0.18823039406421,0.0218795240206667
"destination_attraction","Destination-attraction shock","large",1,"conventional indicator","native indicator scale","indicator_total_weight",200,1,0.544751575768895,0.547238523205722,0.478213360785978,0.607328049847547,0.0710006686478987
"destination_attraction","Destination-attraction shock","large",1,"conventional indicator","native indicator scale","indicator_weighted_reciprocity",200,0.99,0.0890764307388857,0.090014331082901,0.0557829144076436,0.123813655118383,0.0380365767076742
"destination_attraction","Destination-attraction shock","large",1,"adjacency benchmark","raw weighted scale","singular_spectrum_raw",200,1,52.8284174806895,52.2576744407216,43.1795681108005,63.5243382165995,4.09260438547839
"destination_attraction","Destination-attraction shock","large",1,"adjacency benchmark","unit-mean shape","singular_spectrum_shape",200,1,13.8095941579993,13.7294862830801,10.9161036760269,17.0230692219722,2.86333377600237
