"year","K","raw_block","destination_role_rank","block_size","fitted_in_mean","fitted_out_mean","destination_core_count","regional_core_count","destination_core_labels","regional_core_labels"
"2024",4,3,4,143,0,9.31964035964038,3,3,"Kaposvari; Oroshazai; Szolnoki","Kaposvari; Oroshazai; Szolnoki"
"2024",8,2,1,1,1332.46285714286,569.211428571429,1,0,"Budapesti",""
"2024",8,3,2,6,141.7,53.0828571428571,6,6,"Debreceni; Godolloi; Gyori; Miskolci; Pecsi; Szegedi","Debreceni; Godolloi; Gyori; Miskolci; Pecsi; Szegedi"
"2024",8,7,3,11,30.5537662337662,27.3709090909091,10,10,"Bajai; Dunaujvarosi; Egri; Kecskemeti; Nyiregyhazai; Sopron-Fertodi; Szekesfehervari; Tatabanyai; Vaci; Veszpremi","Bajai; Dunaujvarosi; Egri; Kecskemeti; Nyiregyhazai; Sopron-Fertodi; Szekesfehervari; Tatabanyai; Vaci; Veszpremi"
"2024",8,4,4,14,0.195918367346939,0,0,0,"",""
"2024",8,1,5,29,0,4.34699507389163,0,0,"",""
"2024",8,5,5,37,0,19.4132818532819,2,2,"Kaposvari; Szolnoki","Kaposvari; Szolnoki"
"2024",8,6,5,58,0,7.51674876847291,1,1,"Oroshazai","Oroshazai"
"2024",8,8,5,19,0,2.75699248120301,0,0,"",""
"2024",13,13,1,1,1332.46285714286,569.211428571429,1,0,"Budapesti",""
"2024",13,9,2,3,193.472380952381,47.1333333333333,3,3,"Debreceni; Pecsi; Szegedi","Debreceni; Pecsi; Szegedi"
"2024",13,12,3,10,56.5388571428571,41.4131428571429,10,10,"Dunaujvarosi; Egri; Godolloi; Gyori; Kecskemeti; Miskolci; Nyiregyhazai; Sopron-Fertodi; Szekesfehervari; Veszpremi","Dunaujvarosi; Egri; Godolloi; Gyori; Kecskemeti; Miskolci; Nyiregyhazai; Sopron-Fertodi; Szekesfehervari; Veszpremi"
"2024",13,3,4,4,10.1214285714286,16.0114285714286,3,3,"Bajai; Tatabanyai; Vaci","Bajai; Tatabanyai; Vaci"
"2024",13,6,5,14,0.195918367346939,0,0,0,"",""
"2024",13,1,6,3,0,48.2019047619048,0,0,"",""
"2024",13,2,6,30,0,6.50228571428571,1,1,"Oroshazai","Oroshazai"
"2024",13,4,6,9,0,29.871746031746,2,2,"Kaposvari; Szolnoki","Kaposvari; Szolnoki"
"2024",13,5,6,27,0,11.125291005291,0,0,"",""
"2024",13,7,6,23,0,3.59875776397516,0,0,"",""
"2024",13,8,6,13,0,5.03340659340659,0,0,"",""
"2024",13,10,6,12,0,2.52,0,0,"",""
"2024",13,11,6,26,0,9.43692307692308,0,0,"",""
