"year","K","nodeID","nodeLabel","nodeLat","nodeLong","raw_block","destination_role_rank","origin_role_rank","raw_in_strength","raw_out_strength","fitted_in_mean","fitted_out_mean","fitted_in_rank01","destination_core_rank","is_destination_core","is_regional_destination_core"
"2015",2,"102","Mosonmagyarovari",47.8744063,17.2693897,1,2,2,0,2039,5.60371100164184,9.20804597701122,0.497126436781609,30,FALSE,FALSE
"2015",2,"103","Nagyatadi",46.23001,17.3574429,1,2,2,0,723,5.60371100164184,9.20804597701122,0.497126436781609,31,FALSE,FALSE
"2015",2,"104","Nagykalloi",47.875519,21.8460521,1,2,2,0,1514,5.60371100164184,9.20804597701122,0.497126436781609,32,FALSE,FALSE
"2015",2,"105","Nagykanizsai",46.455237,16.9953419,1,2,2,0,2203,5.60371100164184,9.20804597701122,0.497126436781609,33,FALSE,FALSE
"2015",2,"106","Nagykatai",47.4181175,19.7422453,1,2,2,0,1865,5.60371100164184,9.20804597701122,0.497126436781609,34,FALSE,FALSE
"2015",2,"107","Nyirbatori",47.835414,22.130289,1,2,2,0,1397,5.60371100164184,9.20804597701122,0.497126436781609,35,FALSE,FALSE
"2015",2,"108","Nyiregyhazai",47.9532583,21.7264647,1,2,2,5151,6186,5.60371100164184,9.20804597701122,0.497126436781609,11,TRUE,TRUE
"2015",2,"109","Oroshazai",46.5615338,20.6619204,1,2,2,1889,1787,5.60371100164184,9.20804597701122,0.497126436781609,13,TRUE,TRUE
"2015",2,"110","Oroszlanyi",47.4943329,18.3215448,1,2,2,0,873,5.60371100164184,9.20804597701122,0.497126436781609,37,FALSE,FALSE
"2015",2,"111","Ozdi",48.2195564,20.2869186,1,2,2,0,1263,5.60371100164184,9.20804597701122,0.497126436781609,38,FALSE,FALSE
"2015",2,"112","Oriszentpeteri",46.838954,16.4211574,1,2,2,0,158,5.60371100164184,9.20804597701122,0.497126436781609,39,FALSE,FALSE
"2015",2,"113","Pacsai",46.7226412,17.0096878,1,2,2,0,225,5.60371100164184,9.20804597701122,0.497126436781609,40,FALSE,FALSE
"2015",2,"114","Paksi",46.626368,18.8652409,1,2,2,0,1790,5.60371100164184,9.20804597701122,0.497126436781609,41,FALSE,FALSE
"2015",2,"115","Pannonhalmai",47.55021,17.754228,1,2,2,0,601,5.60371100164184,9.20804597701122,0.497126436781609,42,FALSE,FALSE
"2015",2,"116","Papai",47.3308153,17.4660302,1,2,2,0,1627,5.60371100164184,9.20804597701122,0.497126436781609,43,FALSE,FALSE
"2015",2,"117","Pasztoi",47.919562,19.6978939,1,2,2,0,840,5.60371100164184,9.20804597701122,0.497126436781609,44,FALSE,FALSE
"2015",2,"118","Pecsi",46.0713242,18.2331772,1,2,2,22747,7393,5.60371100164184,9.20804597701122,0.497126436781609,4,TRUE,TRUE
"2015",2,"119","Pecsvaradi",46.158114,18.422176,1,2,2,0,321,5.60371100164184,9.20804597701122,0.497126436781609,45,FALSE,FALSE
"2015",2,"120","Petervasarai",48.017941,20.1019849,1,2,2,0,337,5.60371100164184,9.20804597701122,0.497126436781609,47,FALSE,FALSE
"2015",2,"121","Pilisvorosvari",47.6212089,18.9111742,1,2,2,0,3972,5.60371100164184,9.20804597701122,0.497126436781609,48,FALSE,FALSE
"2015",2,"122","Polgari",47.866362,21.1242449,1,2,2,0,369,5.60371100164184,9.20804597701122,0.497126436781609,49,FALSE,FALSE
"2015",2,"123","Puspokladanyi",47.3176758,21.1165369,1,2,2,0,1326,5.60371100164184,9.20804597701122,0.497126436781609,50,FALSE,FALSE
"2015",2,"124","Rackevei",47.1611023,18.9455669,1,2,2,0,5521,5.60371100164184,9.20804597701122,0.497126436781609,51,FALSE,FALSE
"2015",2,"125","Retsagi",47.9278597,19.1372757,1,2,2,0,647,5.60371100164184,9.20804597701122,0.497126436781609,52,FALSE,FALSE
"2015",2,"126","Salgotarjani",48.0853167,19.7869357,1,2,2,0,1878,5.60371100164184,9.20804597701122,0.497126436781609,53,FALSE,FALSE
"2015",2,"127","Sarbogardi",46.887769,18.6193289,1,2,2,0,562,5.60371100164184,9.20804597701122,0.497126436781609,54,FALSE,FALSE
"2015",2,"128","Sarkadi",46.746283,21.3848669,1,2,2,0,555,5.60371100164184,9.20804597701122,0.497126436781609,55,FALSE,FALSE
"2015",2,"129","Sarospataki",48.318984,21.5663738,1,2,2,0,849,5.60371100164184,9.20804597701122,0.497126436781609,24,FALSE,FALSE
"2015",2,"130","Sarvari",47.2540616,16.9352309,1,2,2,0,1077,5.60371100164184,9.20804597701122,0.497126436781609,57,FALSE,FALSE
"2015",2,"131","Sasdi",46.2548488,18.1060595,1,2,2,0,293,5.60371100164184,9.20804597701122,0.497126436781609,58,FALSE,FALSE
"2015",2,"132","Satoraljaujhelyi",48.3941408,21.6559965,1,2,2,0,822,5.60371100164184,9.20804597701122,0.497126436781609,59,FALSE,FALSE
"2015",2,"133","Sellyei",45.8719698,17.8460989,1,2,2,0,204,5.60371100164184,9.20804597701122,0.497126436781609,60,FALSE,FALSE
"2015",2,"134","Siklosi",45.852147,18.2988281,1,2,2,0,754,5.60371100164184,9.20804597701122,0.497126436781609,61,FALSE,FALSE
"2015",2,"135","Siofoki",46.9057439,18.0525018,1,2,2,0,1189,5.60371100164184,9.20804597701122,0.497126436781609,62,FALSE,FALSE
"2015",2,"136","Sopron-Fertodi",47.684898,16.583053,1,2,2,10331,3067,5.60371100164184,9.20804597701122,0.497126436781609,10,TRUE,TRUE
"2015",2,"137","Sumegi",46.9775543,17.2819824,1,2,2,0,393,5.60371100164184,9.20804597701122,0.497126436781609,63,FALSE,FALSE
"2015",2,"138","Szarvasi",46.8595081,20.5595884,1,2,2,0,1420,5.60371100164184,9.20804597701122,0.497126436781609,21,FALSE,FALSE
"2015",2,"139","Szecsenyi",48.0811488,19.5197217,1,2,2,0,414,5.60371100164184,9.20804597701122,0.497126436781609,64,FALSE,FALSE
"2015",2,"140","Szegedi",46.2536169,20.1461345,1,2,2,28610,9193,5.60371100164184,9.20804597701122,0.497126436781609,3,TRUE,TRUE
"2015",2,"141","Szeghalomi",47.027309,21.166263,1,2,2,0,1057,5.60371100164184,9.20804597701122,0.497126436781609,66,FALSE,FALSE
"2015",2,"142","Szekesfehervari",47.1887157,18.4138088,1,2,2,0,5899,5.60371100164184,9.20804597701122,0.497126436781609,20,TRUE,TRUE
"2015",2,"143","Szekszardi",46.3485623,18.7019205,1,2,2,0,3247,5.60371100164184,9.20804597701122,0.497126436781609,67,FALSE,FALSE
"2015",2,"144","Szentendrei",47.6734712,19.07254,1,2,2,0,4638,5.60371100164184,9.20804597701122,0.497126436781609,68,FALSE,FALSE
"2015",2,"145","Szentesi",46.65192,20.2571842,1,2,2,0,1373,5.60371100164184,9.20804597701122,0.497126436781609,69,FALSE,FALSE
"2015",2,"146","Szentgotthardi",46.9527524,16.2737218,1,2,2,0,444,5.60371100164184,9.20804597701122,0.497126436781609,70,FALSE,FALSE
"2015",2,"147","Szentlorinci",46.040211,17.989775,1,2,2,0,332,5.60371100164184,9.20804597701122,0.497126436781609,71,FALSE,FALSE
"2015",2,"148","Szerencsi",48.162418,21.205206,1,2,2,0,1163,5.60371100164184,9.20804597701122,0.497126436781609,72,FALSE,FALSE
