"estimator","fixed_K","metric","year_pair","distance","metric_role"
"spectral",13,"total_variation","2008-2009",0.145288310674361,"exploratory"
"spectral",13,"total_variation","2009-2010",0.116093015940171,"exploratory"
"spectral",13,"total_variation","2010-2011",0.117021414975243,"exploratory"
"spectral",13,"total_variation","2011-2012",0.1530211425613,"exploratory"
"spectral",13,"total_variation","2012-2013",0.0954019375724376,"exploratory"
"spectral",13,"total_variation","2013-2014",0.0774546500604501,"exploratory"
"spectral",13,"total_variation","2014-2015",0.0689606164915312,"exploratory"
"spectral",13,"total_variation","2015-2016",0.0851558750671189,"exploratory"
"spectral",13,"total_variation","2016-2017",0.107802286716199,"exploratory"
"spectral",13,"total_variation","2017-2018",0.197186457344157,"exploratory"
"spectral",13,"total_variation","2018-2019",0.158074950866619,"exploratory"
"spectral",13,"total_variation","2019-2020",0.174305158878908,"exploratory"
"spectral",13,"total_variation","2020-2021",0.227867192948908,"exploratory"
"spectral",13,"total_variation","2021-2022",0.174174672222951,"exploratory"
"spectral",13,"total_variation","2022-2023",0.122934814486986,"exploratory"
"spectral",13,"total_variation","2023-2024",0.166558653124086,"exploratory"
