"metric","metric_role","fixed_K","year_pair","distance"
"wasserstein","secondary",3,"2023-2024",0.699657142857328
"jensen_shannon","exploratory",3,"2006-2007",0.0115777443014321
"jensen_shannon","exploratory",3,"2007-2008",0.0220816375166831
"jensen_shannon","exploratory",3,"2008-2009",0.000235442282925187
"jensen_shannon","exploratory",3,"2009-2010",0.0117177831076879
"jensen_shannon","exploratory",3,"2010-2011",7.51745404498605e-06
"jensen_shannon","exploratory",3,"2011-2012",0.00104677979485236
"jensen_shannon","exploratory",3,"2012-2013",0.000138591163923288
"jensen_shannon","exploratory",3,"2013-2014",0.000154435540620183
"jensen_shannon","exploratory",3,"2014-2015",3.88468802329278e-05
"jensen_shannon","exploratory",3,"2015-2016",0.230536494278143
"jensen_shannon","exploratory",3,"2016-2017",0.232712736155213
"jensen_shannon","exploratory",3,"2017-2018",0.0236341113216394
"jensen_shannon","exploratory",3,"2018-2019",0.121165124161643
"jensen_shannon","exploratory",3,"2019-2020",0.00753159540022322
"jensen_shannon","exploratory",3,"2020-2021",0.122865242911062
"jensen_shannon","exploratory",3,"2021-2022",0.000709299916001636
"jensen_shannon","exploratory",3,"2022-2023",0.0239044662975073
"jensen_shannon","exploratory",3,"2023-2024",6.70127310440256e-05
"total_variation","exploratory",3,"2006-2007",0.0505087076312179
"total_variation","exploratory",3,"2007-2008",0.0712319842329077
"total_variation","exploratory",3,"2008-2009",0.0139044189437727
"total_variation","exploratory",3,"2009-2010",0.041543030904408
"total_variation","exploratory",3,"2010-2011",0.00374228718594873
"total_variation","exploratory",3,"2011-2012",0.0375606191650035
"total_variation","exploratory",3,"2012-2013",0.0147226290804616
"total_variation","exploratory",3,"2013-2014",0.0139688535657128
"total_variation","exploratory",3,"2014-2015",0.00723956503179739
"total_variation","exploratory",3,"2015-2016",0.505084462133444
"total_variation","exploratory",3,"2016-2017",0.515816147382531
"total_variation","exploratory",3,"2017-2018",0.0741822031902182
"total_variation","exploratory",3,"2018-2019",0.297135630524098
"total_variation","exploratory",3,"2019-2020",0.0549816038969778
"total_variation","exploratory",3,"2020-2021",0.313052688107685
"total_variation","exploratory",3,"2021-2022",0.031114711118483
"total_variation","exploratory",3,"2022-2023",0.076083730531086
"total_variation","exploratory",3,"2023-2024",0.00862705863416855
"frobenius","primary",4,"2006-2007",38.0267185349203
"frobenius","primary",4,"2007-2008",26.659857159364
"frobenius","primary",4,"2008-2009",32.4583075327553
"frobenius","primary",4,"2009-2010",64.9794371682716
"frobenius","primary",4,"2010-2011",22.8742727195049
"frobenius","primary",4,"2011-2012",95.0658826625738
"frobenius","primary",4,"2012-2013",63.3641298778828
