"nodeID","nodeLabel","nodeLat","nodeLong","mean_in_strength_2006_2024","destination_core_rank","is_destination_core","is_regional_destination_core"
"9","Balassagyarmati",48.078798,19.2938953,0,166,FALSE,FALSE
"90","Makoi",46.21498,20.47513,0,167,FALSE,FALSE
"91","Marcali",46.582815,17.4119018,0,168,FALSE,FALSE
"92","Mateszalkai",47.943265,22.316904,0,169,FALSE,FALSE
"93","Mezocsati",47.823541,20.9028038,0,170,FALSE,FALSE
"94","Mezokovacshazai",46.4071834,20.9241681,0,171,FALSE,FALSE
"95","Mezokovesdi",47.8068796,20.5650907,0,172,FALSE,FALSE
"96","Mezoturi",47.00278,20.618465,0,173,FALSE,FALSE
"98","Mohacsi",45.9959241,18.6798279,0,174,FALSE,FALSE
"99","Monori",47.34754,19.448946,0,175,FALSE,FALSE
