"year","nodeID","nodeLabel","nodeLat","nodeLong","block","block_size","destination_role_rank","origin_role_rank","raw_in_strength","raw_out_strength","fitted_in_mean","fitted_out_mean","fitted_in_rank01","fitted_out_rank01","destination_core_rank","is_destination_core","is_regional_destination_core"
2006,"49","Fuzesabonyi",47.750888,20.409611,12,20,6,8,0,989,0,7.51057142857143,0.436781609195402,0.652298850574713,126,FALSE,FALSE
2006,"50","Gardonyi",47.1973503,18.6091412,10,37,6,9,0,1008,0,7.07258687258687,0.436781609195402,0.488505747126437,128,FALSE,FALSE
2006,"51","Godolloi",47.5975105,19.3480017,8,9,4,4,12323,4853,48.6400000000001,22.7847619047619,0.936781609195402,0.936781609195402,5,TRUE,TRUE
2006,"52","Gyali",47.3808958,19.215712,13,21,6,6,0,2350,0,17.1447619047619,0.436781609195402,0.816091954022989,129,FALSE,FALSE
2006,"53","Gyongyosi",47.775028,19.9280689,13,21,6,6,0,2925,0,17.1447619047619,0.436781609195402,0.816091954022989,130,FALSE,FALSE
2006,"54","Gyori",47.684051,17.6351011,1,3,3,2,10903,6960,71.8704761904761,49.6857142857143,0.971264367816092,0.988505747126437,6,TRUE,TRUE
2006,"55","Gyulai",46.642498,21.268809,13,21,6,6,0,2269,0,17.1447619047619,0.436781609195402,0.816091954022989,131,FALSE,FALSE
2006,"56","Hajduboszormenyi",47.673238,21.5076172,9,8,6,7,0,2174,0,15.7464285714286,0.436781609195402,0.732758620689655,132,FALSE,FALSE
2006,"57","Hajduhadhazi",47.68197,21.6685631,2,32,6,11,0,1584,0,4.14071428571428,0.436781609195402,0.192528735632184,133,FALSE,FALSE
2006,"58","Hajduszoboszloi",47.443667,21.389719,2,32,6,11,0,1276,0,4.14071428571428,0.436781609195402,0.192528735632184,134,FALSE,FALSE
2006,"59","Hatvani",47.668122,19.669901,9,8,6,7,0,1892,0,15.7464285714286,0.436781609195402,0.732758620689655,135,FALSE,FALSE
2006,"60","Hevesi",47.5945238,20.2882213,10,37,6,9,0,1093,0,7.07258687258687,0.436781609195402,0.488505747126437,137,FALSE,FALSE
2006,"61","Hevizi",46.7905869,17.1843866,4,7,6,13,0,0,0,0,0.436781609195402,0.0172413793103448,138,FALSE,FALSE
2006,"62","Hodmezovasarhelyi",46.430411,20.3188298,10,37,6,9,0,2080,0,7.07258687258687,0.436781609195402,0.488505747126437,139,FALSE,FALSE
2006,"63","Ibrany-Nagyhalaszi",48.134908,21.7187528,5,17,6,10,0,1376,0,5.76840336134454,0.436781609195402,0.333333333333333,140,FALSE,FALSE
2006,"64","Janoshalmai",46.2967401,19.3228798,10,37,6,9,0,517,0,7.07258687258687,0.436781609195402,0.488505747126437,141,FALSE,FALSE
2006,"65","Jaszberenyi",47.5006181,19.9147188,13,21,6,6,0,2782,0,17.1447619047619,0.436781609195402,0.816091954022989,142,FALSE,FALSE
2006,"66","Kadarkuti",46.2311466,17.6157102,4,7,6,13,0,0,0,0,0.436781609195402,0.0172413793103448,143,FALSE,FALSE
2006,"67","Kalocsai",46.5334145,18.9856969,13,21,6,6,0,2125,0,17.1447619047619,0.436781609195402,0.816091954022989,144,FALSE,FALSE
2006,"68","Kaposvari",46.36653,17.782483,8,9,4,4,8801,4014,48.6400000000001,22.7847619047619,0.936781609195402,0.936781609195402,12,TRUE,TRUE
2006,"69","Kapuvar-Beledi",47.5935568,17.0249715,7,11,6,12,0,758,0,2.43896103896104,0.436781609195402,0.0689655172413793,145,FALSE,FALSE
2006,"70","Karcagi",47.316632,20.9220631,10,37,6,9,0,1716,0,7.07258687258687,0.436781609195402,0.488505747126437,146,FALSE,FALSE
2006,"71","Kazincbarcikai",48.25317,20.6456512,13,21,6,6,0,2498,0,17.1447619047619,0.436781609195402,0.816091954022989,147,FALSE,FALSE
2006,"72","Kecskemeti",46.9062092,19.6899774,3,6,5,5,227,7044,9.5847619047619,22.6028571428571,0.89367816091954,0.89367816091954,14,TRUE,TRUE
2006,"73","Keszthelyi",46.7695893,17.2481444,12,20,6,8,0,2050,0,7.51057142857143,0.436781609195402,0.652298850574713,148,FALSE,FALSE
2006,"74","Kisberi",47.501673,18.0269161,5,17,6,10,0,518,0,5.76840336134454,0.436781609195402,0.333333333333333,149,FALSE,FALSE
2006,"75","Kiskorosi",46.620386,19.283827,13,21,6,6,0,2069,0,17.1447619047619,0.436781609195402,0.816091954022989,150,FALSE,FALSE
2006,"76","Kiskunfelegyhazai",46.7050953,19.8499199,10,37,6,9,0,1688,0,7.07258687258687,0.436781609195402,0.488505747126437,151,FALSE,FALSE
2006,"77","Kiskunhalasi",46.432037,19.4885269,10,37,6,9,0,1679,0,7.07258687258687,0.436781609195402,0.488505747126437,152,FALSE,FALSE
2006,"78","Kiskunmajsai",46.492344,19.7368448,2,32,6,11,0,584,0,4.14071428571428,0.436781609195402,0.192528735632184,153,FALSE,FALSE
2006,"79","Kisteleki",46.4696447,19.9803972,5,17,6,10,0,513,0,5.76840336134454,0.436781609195402,0.333333333333333,154,FALSE,FALSE
2006,"80","Kisvardai",48.2264002,22.0846211,13,21,6,6,0,3319,0,17.1447619047619,0.436781609195402,0.816091954022989,156,FALSE,FALSE
2006,"81","Komaromi",47.7434248,18.1191064,10,37,6,9,0,1373,0,7.07258687258687,0.436781609195402,0.488505747126437,157,FALSE,FALSE
2006,"82","Komloi",47.600636,20.445412,5,17,6,10,0,1335,0,5.76840336134454,0.436781609195402,0.333333333333333,158,FALSE,FALSE
2006,"83","Kormendi",47.011113,16.6057156,2,32,6,11,0,710,0,4.14071428571428,0.436781609195402,0.192528735632184,159,FALSE,FALSE
2006,"84","Koszegi",47.381935,16.552229,2,32,6,11,0,576,0,4.14071428571428,0.436781609195402,0.192528735632184,160,FALSE,FALSE
2006,"85","Kunszentmartoni",46.841082,20.287233,12,20,6,8,0,1143,0,7.51057142857143,0.436781609195402,0.652298850574713,161,FALSE,FALSE
2006,"86","Kunszentmiklosi",47.026444,19.1227831,10,37,6,9,0,812,0,7.07258687258687,0.436781609195402,0.488505747126437,162,FALSE,FALSE
2006,"87","Lengyeltoti",46.667049,17.6407711,2,32,6,11,0,234,0,4.14071428571428,0.436781609195402,0.192528735632184,163,FALSE,FALSE
2006,"88","Lenti",46.623785,16.546001,12,20,6,8,0,810,0,7.51057142857143,0.436781609195402,0.652298850574713,164,FALSE,FALSE
2006,"89","Letenyei",46.4337456,16.7221882,2,32,6,11,0,577,0,4.14071428571428,0.436781609195402,0.192528735632184,165,FALSE,FALSE
2006,"90","Makoi",46.21498,20.47513,10,37,6,9,0,1487,0,7.07258687258687,0.436781609195402,0.488505747126437,167,FALSE,FALSE
2006,"91","Marcali",46.582815,17.4119018,2,32,6,11,0,860,0,4.14071428571428,0.436781609195402,0.192528735632184,168,FALSE,FALSE
2006,"92","Mateszalkai",47.943265,22.316904,12,20,6,8,0,2587,0,7.51057142857143,0.436781609195402,0.652298850574713,169,FALSE,FALSE
2006,"93","Mezocsati",47.823541,20.9028038,7,11,6,12,0,489,0,2.43896103896104,0.436781609195402,0.0689655172413793,170,FALSE,FALSE
2006,"94","Mezokovacshazai",46.4071834,20.9241681,13,21,6,6,0,1166,0,17.1447619047619,0.436781609195402,0.816091954022989,171,FALSE,FALSE
2006,"95","Mezokovesdi",47.8068796,20.5650907,2,32,6,11,0,1811,0,4.14071428571428,0.436781609195402,0.192528735632184,172,FALSE,FALSE
2006,"96","Mezoturi",47.00278,20.618465,10,37,6,9,0,1011,0,7.07258687258687,0.436781609195402,0.488505747126437,173,FALSE,FALSE
2006,"97","Miskolci",48.1043854,20.7913563,1,3,3,2,12883,11434,71.8704761904761,49.6857142857143,0.971264367816092,0.988505747126437,7,TRUE,TRUE
2006,"98","Mohacsi",45.9959241,18.6798279,10,37,6,9,0,1612,0,7.07258687258687,0.436781609195402,0.488505747126437,174,FALSE,FALSE
2006,"99","Monori",47.34754,19.448946,13,21,6,6,0,2694,0,17.1447619047619,0.436781609195402,0.816091954022989,175,FALSE,FALSE
2006,"100","Morahalomi",46.217922,19.883719,5,17,6,10,0,617,0,5.76840336134454,0.436781609195402,0.333333333333333,28,FALSE,FALSE
2006,"101","Mori",47.3717781,18.2085973,10,37,6,9,0,1169,0,7.07258687258687,0.436781609195402,0.488505747126437,29,FALSE,FALSE
2006,"102","Mosonmagyarovari",47.8744063,17.2693897,12,20,6,8,0,2115,0,7.51057142857143,0.436781609195402,0.652298850574713,30,FALSE,FALSE
2006,"103","Nagyatadi",46.23001,17.3574429,12,20,6,8,0,825,0,7.51057142857143,0.436781609195402,0.652298850574713,31,FALSE,FALSE
2006,"104","Nagykalloi",47.875519,21.8460521,12,20,6,8,0,1833,0,7.51057142857143,0.436781609195402,0.652298850574713,32,FALSE,FALSE
2006,"105","Nagykanizsai",46.455237,16.9953419,9,8,6,7,0,3145,0,15.7464285714286,0.436781609195402,0.732758620689655,33,FALSE,FALSE
2006,"106","Nagykatai",47.4181175,19.7422453,10,37,6,9,0,1728,0,7.07258687258687,0.436781609195402,0.488505747126437,34,FALSE,FALSE
2006,"107","Nyirbatori",47.835414,22.130289,10,37,6,9,0,1451,0,7.07258687258687,0.436781609195402,0.488505747126437,35,FALSE,FALSE
2006,"108","Nyiregyhazai",47.9532583,21.7264647,1,3,3,2,13946,7691,71.8704761904761,49.6857142857143,0.971264367816092,0.988505747126437,11,TRUE,TRUE
2006,"109","Oroshazai",46.5615338,20.6619204,8,9,4,4,6868,2124,48.6400000000001,22.7847619047619,0.936781609195402,0.936781609195402,13,TRUE,TRUE
2006,"110","Oroszlanyi",47.4943329,18.3215448,12,20,6,8,0,790,0,7.51057142857143,0.436781609195402,0.652298850574713,37,FALSE,FALSE
2006,"111","Ozdi",48.2195564,20.2869186,10,37,6,9,0,1987,0,7.07258687258687,0.436781609195402,0.488505747126437,38,FALSE,FALSE
2006,"112","Oriszentpeteri",46.838954,16.4211574,7,11,6,12,0,136,0,2.43896103896104,0.436781609195402,0.0689655172413793,39,FALSE,FALSE
2006,"113","Pacsai",46.7226412,17.0096878,4,7,6,13,0,0,0,0,0.436781609195402,0.0172413793103448,40,FALSE,FALSE
2006,"114","Paksi",46.626368,18.8652409,9,8,6,7,0,2095,0,15.7464285714286,0.436781609195402,0.732758620689655,41,FALSE,FALSE
2006,"115","Pannonhalmai",47.55021,17.754228,7,11,6,12,0,361,0,2.43896103896104,0.436781609195402,0.0689655172413793,42,FALSE,FALSE
2006,"116","Papai",47.3308153,17.4660302,9,8,6,7,0,2189,0,15.7464285714286,0.436781609195402,0.732758620689655,43,FALSE,FALSE
2006,"117","Pasztoi",47.919562,19.6978939,10,37,6,9,0,1011,0,7.07258687258687,0.436781609195402,0.488505747126437,44,FALSE,FALSE
2006,"118","Pecsi",46.0713242,18.2331772,6,3,2,3,33369,7449,188.994285714286,49.5733333333333,0.988505747126437,0.971264367816092,4,TRUE,TRUE
2006,"119","Pecsvaradi",46.158114,18.422176,2,32,6,11,0,394,0,4.14071428571428,0.436781609195402,0.192528735632184,45,FALSE,FALSE
2006,"120","Petervasarai",48.017941,20.1019849,5,17,6,10,0,609,0,5.76840336134454,0.436781609195402,0.333333333333333,47,FALSE,FALSE
2006,"121","Pilisvorosvari",47.6212089,18.9111742,13,21,6,6,0,5100,0,17.1447619047619,0.436781609195402,0.816091954022989,48,FALSE,FALSE
2006,"122","Polgari",47.866362,21.1242449,7,11,6,12,0,436,0,2.43896103896104,0.436781609195402,0.0689655172413793,49,FALSE,FALSE
2006,"123","Puspokladanyi",47.3176758,21.1165369,5,17,6,10,0,1813,0,5.76840336134454,0.436781609195402,0.333333333333333,50,FALSE,FALSE
2006,"124","Rackevei",47.1611023,18.9455669,13,21,6,6,0,4528,0,17.1447619047619,0.436781609195402,0.816091954022989,51,FALSE,FALSE
2006,"125","Retsagi",47.9278597,19.1372757,10,37,6,9,0,922,0,7.07258687258687,0.436781609195402,0.488505747126437,52,FALSE,FALSE
2006,"126","Salgotarjani",48.0853167,19.7869357,9,8,6,7,0,2735,0,15.7464285714286,0.436781609195402,0.732758620689655,53,FALSE,FALSE
2006,"127","Sarbogardi",46.887769,18.6193289,10,37,6,9,0,769,0,7.07258687258687,0.436781609195402,0.488505747126437,54,FALSE,FALSE
2006,"128","Sarkadi",46.746283,21.3848669,5,17,6,10,0,670,0,5.76840336134454,0.436781609195402,0.333333333333333,55,FALSE,FALSE
2006,"129","Sarospataki",48.318984,21.5663738,10,37,6,9,0,1282,0,7.07258687258687,0.436781609195402,0.488505747126437,24,FALSE,FALSE
2006,"130","Sarvari",47.2540616,16.9352309,12,20,6,8,0,1173,0,7.51057142857143,0.436781609195402,0.652298850574713,57,FALSE,FALSE
