"from_year","to_year","transition","analysis_dimension","estimator","fixed_K","family","scale","channel","score","evidence_percentile","robust_z"
2007,2008,"2007-2008","estimator","block",13,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",1.77008686937299,0.294117647058824,-0.588543747693415
2007,2008,"2007-2008","estimator","block",13,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",3.39008319876621,0.411764705882353,-0.198393741994456
2007,2008,"2007-2008","estimator","block",13,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",0.148945713925653,0.470588235294118,-0.0265341330455393
2007,2008,"2007-2008","estimator","block",13,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",0.137381513039746,0.470588235294118,-0.27977151626184
2007,2008,"2007-2008","estimator","block",13,"structural roles","label-invariant partition","estimated_role_instability",0.852600096067616,0.823529411764706,0.88554513559856
2007,2008,"2007-2008","estimator","smooth",13,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",16.3378403780491,0.176470588235294,-1.04325854626099
2007,2008,"2007-2008","estimator","smooth",13,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",1.01011293048659,0.411764705882353,-0.589171592693241
2007,2008,"2007-2008","estimator","smooth",13,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",1.29638511016278,0.411764705882353,-0.547093017583749
2007,2008,"2007-2008","estimator","smooth",13,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",2.15620077098543,0.294117647058824,-0.320284955999358
2007,2008,"2007-2008","estimator","smooth",13,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",0.0618797306787829,0.529411764705882,0.0670620712399386
2007,2008,"2007-2008","estimator","smooth",13,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",0.106845444749477,0.588235294117647,0.353893705223131
2007,2008,"2007-2008","estimator","smooth",13,"structural roles","label-invariant partition","estimated_role_instability",0.0420330595650096,0.264705882352941,-0.620645772617205
2007,2008,"2007-2008","estimator","spectral",13,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",52.0020728605233,0.294117647058824,-0.586353278210028
2007,2008,"2007-2008","estimator","spectral",13,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",2.34568619482133,0.529411764705882,0.241962441134948
2007,2008,"2007-2008","estimator","spectral",13,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",2.90881497568551,0.764705882352941,1.13826971468305
2007,2008,"2007-2008","estimator","spectral",13,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",4.3716938996306,0.705882352941177,0.408475822111565
2007,2008,"2007-2008","estimator","spectral",13,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",0.148339284098523,0.88235294117647,1.23161286919004
2007,2008,"2007-2008","estimator","spectral",13,"fitted-kernel distance","unit-mean shape","graphon_wasserstein_shape",0.225065115161456,1,1.89324318073423
2007,2008,"2007-2008","estimator","spectral",13,"structural roles","label-invariant partition","estimated_role_instability",0.258708402003696,0.470588235294118,-0.105702697619384
2007,2008,"2007-2008","resolution","block",2,"fitted-kernel distance","raw weighted scale","graphon_frobenius_raw",9.02339452717262,0,-1.22207081869699
2007,2008,"2007-2008","resolution","block",2,"fitted-kernel distance","raw weighted scale","graphon_cut_raw",0.671934693877164,0.352941176470588,-0.849298116954956
2007,2008,"2007-2008","resolution","block",2,"fitted-kernel distance","raw weighted scale","graphon_wasserstein_raw",0.828244897959257,0.352941176470588,-0.747591226188504
2007,2008,"2007-2008","resolution","block",2,"fitted-kernel distance","unit-mean shape","graphon_frobenius_shape",1.87866495437348,0.470588235294118,-0.0122183815142042
2007,2008,"2007-2008","resolution","block",2,"fitted-kernel distance","unit-mean shape","graphon_cut_shape",0.0297514065208364,0.588235294117647,0.360978783211683
